step,loss,lr
0,0.6931471824645996,1.1000000000000001e-08
1,0.6931437253952026,1.099999996326866e-08
2,0.6931405663490295,1.0999999853074639e-08
3,0.6931381225585938,1.0999999669417937e-08
4,0.6931421756744385,1.0999999412298558e-08
5,0.6931397914886475,1.0999999081716507e-08
6,0.693128764629364,1.0999998677671787e-08
7,0.6931333541870117,1.0999998200164404e-08
8,0.6931353807449341,1.0999997649194367e-08
9,0.6931379437446594,1.0999997024761681e-08
10,0.6931321620941162,1.099999632686636e-08
11,0.693134605884552,1.0999995555508408e-08
12,0.6931205987930298,1.0999994710687841e-08
13,0.6931300163269043,1.0999993792404671e-08
14,0.6931440830230713,1.0999992800658909e-08
15,0.6931127309799194,1.0999991735450572e-08
16,0.6931324005126953,1.0999990596779675e-08
17,0.693128228187561,1.0999989384646233e-08
18,0.6931281089782715,1.0999988099050265e-08
19,0.6931379437446594,1.0999986739991792e-08
20,0.6931366324424744,1.099998530747083e-08
21,0.6931133270263672,1.0999983801487404e-08
22,0.6931254267692566,1.0999982222041533e-08
23,0.6931189298629761,1.0999980569133242e-08
24,0.6931358575820923,1.0999978842762555e-08
25,0.693131685256958,1.0999977042929496e-08
26,0.6931384801864624,1.0999975169634093e-08
27,0.693123996257782,1.0999973222876374e-08
28,0.6931241750717163,1.0999971202656366e-08
29,0.6931200623512268,1.09999691089741e-08
30,0.6931337714195251,1.0999966941829606e-08
31,0.6931232810020447,1.0999964701222915e-08
32,0.6931149959564209,1.0999962387154061e-08
33,0.6931179165840149,1.0999959999623078e-08
34,0.693123459815979,1.0999957538630002e-08
35,0.6931245923042297,1.0999955004174868e-08
36,0.6931094527244568,1.0999952396257711e-08
37,0.6931116580963135,1.0999949714878574e-08
38,0.6931271553039551,1.0999946960037494e-08
39,0.6930989623069763,1.0999944131734511e-08
40,0.6931363940238953,1.0999941229969667e-08
41,0.6930991411209106,1.0999938254743004e-08
42,0.6931434869766235,1.0999935206054568e-08
43,0.6931229829788208,1.0999932083904403e-08
44,0.6931270956993103,1.0999928888292552e-08
45,0.6931140422821045,1.0999925619219064e-08
46,0.693132758140564,1.0999922276683988e-08
47,0.6931256055831909,1.0999918860687373e-08
48,0.6931177377700806,1.0999915371229267e-08
49,0.6931269764900208,1.0999911808309723e-08
50,0.6931222677230835,1.0999908171928794e-08
51,0.6931420564651489,1.0999904462086531e-08
52,0.6931160092353821,1.099990067878299e-08
53,0.6931238174438477,1.0999896822018229e-08
54,0.6931243538856506,1.09998928917923e-08
55,0.6931166648864746,1.0999888888105262e-08
56,0.6930916905403137,1.0999884810957177e-08
57,0.693120002746582,1.09998806603481e-08
58,0.6930869817733765,1.0999876436278098e-08
59,0.6931105852127075,1.099987213874723e-08
60,0.6931276321411133,1.0999867767755555e-08
61,0.6931208372116089,1.0999863323303142e-08
62,0.6931078433990479,1.0999858805390057e-08
63,0.6931084990501404,1.0999854214016364e-08
64,0.6931204795837402,1.0999849549182132e-08
65,0.6930973529815674,1.0999844810887428e-08
66,0.6931054592132568,1.0999839999132323e-08
